trade_id,account_key,instrument_id,action,quantity,price,creation_date
5904fc2f-f967-43e8-8212-e6aadf157baf,7e68d4f4-e08e-4fcb-bad2-b10b5e5f13af,DIVIDEND,BUY,73,228.61,2022-02-09 10:52:08.981103
66eabd27-25e9-4428-adc9-04fba959a4a2,7f47bd2c-5d45-4a6d-af6a-76196101907c,STOCK,BUY,92,180.82,2022-02-09 11:08:08.982332
ede23632-3c6b-43cb-a249-b0286ba306ce,8fbc3d68-88ad-4493-9aab-1fe4bdda1417,STOCK,SELL,168,43.22,2022-02-09 10:05:08.982332
c69d4a87-7be4-46fa-a619-1279dff32b5e,9b66bce9-ed03-4d91-a3d3-47bcd91adeab,DIVIDEND,BUY,53,231.4,2022-02-09 09:51:08.983334
dbc3ce9b-a667-4a7c-af5b-8e0a01369d87,04a74dfe-b0b4-45eb-b6e2-5f02e57bbdf7,PUT,BUY,168,178.55,2022-02-09 11:47:08.983334
0500c6b2-0e41-44c8-897a-d7e8d814991b,99da71d5-ae9d-47b0-8f79-94258a8b4063,DIVIDEND,BUY,186,221.1,2022-02-09 10:14:08.983334
400454d1-adc9-42bf-9dd5-517b6daab938,ea2106fd-eedf-4dbc-a442-8a531a74ed84,DIVIDEND,BUY,84,92.37,2022-02-09 10:27:08.983334
ae293bc0-e185-4a18-a179-fdde2f2ff34e,3a5615d4-f704-42bc-bbc1-68488d18e163,CALL,BUY,155,27.87,2022-02-09 10:13:08.983334
98a3192f-67c1-4ebe-8aed-72b7b170976e,f927af78-6922-4491-88e0-659ca9a19fc5,STOCK,SELL,32,165.94,2022-02-09 11:16:08.984333
8cd6eb99-7d17-4452-992e-f467578a59ef,cfbc8c0a-12a7-4258-9b3a-8361a5a7d494,DIVIDEND,BUY,46,72.9,2022-02-09 09:50:08.984333
