trade_id,account_key,instrument_id,action,quantity,price,creation_date
6d71622e-b703-4df6-b2c9-56ec33df3341,bf4e8b29-360c-4fbb-8df0-ce231dabdfc0,STOCK,BUY,150,30.29,2022-02-09 12:01:04.346415
1ba293f2-5546-4344-9487-debe8d9d99ca,b5cd6808-0f2a-4e55-86e0-136841b619da,CALL,BUY,138,115.73,2022-02-09 10:50:04.346415
d1850902-32bc-48ae-916d-eaf6d90dc248,2109109b-65bb-4d67-a778-3e650bad2485,DIVIDEND,SELL,57,126.32,2022-02-09 11:48:04.346415
61710901-3cd8-4722-ab75-085c97e7914c,bed73f3c-ca0b-485e-8e00-4089a2b09cb5,CALL,BUY,186,143.51,2022-02-09 11:37:04.346415
e5301d36-a706-4642-a309-72e130a46eaf,3a55bc70-e705-4a05-adb6-ae080cf0825d,STOCK,BUY,98,12.55,2022-02-09 09:25:04.346415
3b1e85b3-e45c-43ea-82c9-aca0f458634b,730fadf6-d61b-46a1-95ed-cfdef1f3d64a,DIVIDEND,SELL,102,183.51,2022-02-09 09:15:04.346415
1967dd26-037a-48cd-9dfc-6ef04dc8fd25,66626ed4-47f7-4be7-b73b-25206f19d6f7,PUT,SELL,180,238.78,2022-02-09 11:02:04.346415
75be101d-0115-4a54-b2ae-6eb5cb04b8b1,31326044-9e2e-4048-b7e1-62a4e81947e8,STOCK,SELL,195,82.53,2022-02-09 10:48:04.346415
effafd7b-02a2-4db4-8940-c58565042c96,f5521338-f06f-4793-9194-b05831864dcc,STOCK,SELL,80,214.94,2022-02-09 09:36:04.346415
8aa999cb-5c68-487a-93ba-d74415a3f4cb,2f3c7e10-639e-4123-ac43-c8f2d9f1d422,STOCK,SELL,146,185.34,2022-02-09 11:36:04.346415
