trade_id,account_key,instrument_id,action,quantity,price,creation_date
cc498c68-2150-403c-9fac-58d9d017a457,0d4cabb8-5b0b-aca4-7beee87f6f3d,CALL,BUY,198,30.69,2022-02-22 08:02:45.016990
ce84888d-73b9-4d8c-9382-b5892c206a66,693d6121-367b-4cf5-8501-d263443c4777,PUT,SELL,174,84.48,2022-02-22 07:29:45.016990
1aa815e0-eeb0-4c7d-bb01-06c67e26a877,db163baf-430f-4e5c-669bd23cff3f,PUT,BUY,174,99.64,2022-02-22 09:11:45.016990
5db28c55-12b7-42eb-9d5f-f4339c2f219a,07b78556-80e4-441d-8908-4f2e71db2a1b,CALL,BUY,144,228.62,2022-02-22 08:22:45.016990
1b82e4e2-cf34-41c9-97dc-ee4c238f85ec,ff1d9ab5-04be-4e19-aa29-e51fd4891,CALL,BUY,23,162.86,2022-02-22 08:13:45.016990
71761ce2-f4c6-4b9d-9fef-abfd85c3c63b,b5c253b4-a10d-49b6-9987-14957b3d908a,DIVIDEND,SELL,92,99.07,2022-02-22 08:11:45.016990
4d771675-2574-4579-bb38-5f8a61590431,07c0097c-3ba1-476a-b313-5d685173bd7b,PUT,SELL,109,183.67,2022-02-22 07:17:45.016990
54a6b9e2-7212-47fd-bd89-3629c196552d,6a99b5cb-ef55-f5-a164-79ce10d8e84e,STOCK,SELL,19,69.98,2022-02-22 09:19:45.016990
0aa7b62a-575d-4a5d-a902-7a3a8610c22a,ec36ab35-efce-482e-a807-68c03b01a5dd,STOCK,BUY,133,222.91,2022-02-22 08:30:45.017991
35cc0cea-2c9a-41df-b4f2-6d06fd2d6a6d,bc426edf-0faf-44ef-98a1-b276d948310a,CALL,BUY,42,242.33,2022-02-22 07:29:45.017991
a3f51183-741d-47aa-9829-275a33fc04bb,1a537958-99b8-4427-2c-8868b5e9c673,PUT,BUY,38,201.1,2022-02-22 07:15:45.017991
d0236d58-9649-4b7d-a7bf-a91f044afb84,1c80b381-36ad-4ce3-8e69-4c4262f5ac9d,CALL,SELL,83,75.2,2022-02-22 09:36:45.017991
b7d0472e-a68d-4d19-8501-fc8836bcb36a,0578b743-ba18-4915-a9de-49b867d4c9fb,PUT,SELL,22,151.93,2022-02-22 06:53:45.017991
